,Date,Open,High,Low,Close,Adj Close,Volume,Direction,Range,Open Down
35,1965-02-23,1223.589966,1223.589966,1223.589966,1223.589966,1223.589966,0.0,Down,0.0,False
36,1965-02-24,1219.099976,1219.099976,1219.099976,1219.099976,1219.099976,0.0,Down,0.0,False
37,1965-02-25,1216.709961,1216.709961,1216.709961,1216.709961,1216.709961,0.0,Down,0.0,False
38,1965-02-26,1213.069946,1213.069946,1213.069946,1213.069946,1213.069946,0.0,Down,0.0,False
39,1965-03-01,1206.47998,1206.47998,1206.47998,1206.47998,1206.47998,0.0,Down,0.0,False
40,1965-03-02,1202.540039,1202.540039,1202.540039,1202.540039,1202.540039,0.0,Down,0.0,False
41,1965-03-03,1207.819946,1207.819946,1207.819946,1207.819946,1207.819946,0.0,Down,0.0,True
42,1965-03-04,1213.030029,1213.030029,1213.030029,1213.030029,1213.030029,0.0,Down,0.0,True
43,1965-03-05,1209.640015,1209.640015,1209.640015,1209.640015,1209.640015,0.0,Down,0.0,False
44,1965-03-08,1190.97998,1190.97998,1190.97998,1190.97998,1190.97998,0.0,Down,0.0,False
45,1965-03-09,1178.430054,1178.430054,1178.430054,1178.430054,1178.430054,0.0,Down,0.0,False
46,1965-03-10,1173.339966,1173.339966,1173.339966,1173.339966,1173.339966,0.0,Down,0.0,False
47,1965-03-11,1164.630005,1164.630005,1164.630005,1164.630005,1164.630005,0.0,Down,0.0,False
48,1965-03-12,1175.859985,1175.859985,1175.859985,1175.859985,1175.859985,0.0,Down,0.0,True
49,1965-03-15,1188.48999,1188.48999,1188.48999,1188.48999,1188.48999,0.0,Down,0.0,True
50,1965-03-16,1181.219971,1181.219971,1181.219971,1181.219971,1181.219971,0.0,Down,0.0,False
51,1965-03-17,1175.800049,1175.800049,1175.800049,1175.800049,1175.800049,0.0,Down,0.0,False
52,1965-03-18,1182.689941,1182.689941,1182.689941,1182.689941,1182.689941,0.0,Down,0.0,True
53,1965-03-19,1175.880005,1175.880005,1175.880005,1175.880005,1175.880005,0.0,Down,0.0,False
55,1965-03-23,1167.790039,1167.790039,1167.790039,1167.790039,1167.790039,0.0,Down,0.0,False
56,1965-03-24,1157.050049,1157.050049,1157.050049,1157.050049,1157.050049,0.0,Down,0.0,False
